"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"63","33600929458","33AAFCC5999L1Z1","C360 DESIGN SOLUTIONS PRIVATE LIMITED","Vg2,63,Ambrosia Apartments,Ganapathy Nagar,Semmencherychennai,Tamil Nadu,600119","KELAMBAKKAM (Circle)","Value Added Tax","VAT FORM I","20/06/2014","Active","-","Normal Dealer"
"64","33295264801","33AAHFC6526E1ZR","CHENNIS DESIGNS & STYLES","S.F.No.2024/2,Chennis Shoppee,Vedasandur Road,Kottaiyur Thadicombu Postdindigul,Tamil Nadu,624709","VEDASANTHUR (Circle)","Central Sales Tax","CST FORM NO.1","19/10/2011","Active","-","Normal Dealer"
"65","33295264801","33AAHFC6526E1ZR","CHENNIS DESIGNS & STYLES","S.F.No.2024/2,Chennis Shoppee,Vedasandur Road,Kottaiyur Thadicombu Postdindigul,Tamil Nadu,624709","VEDASANTHUR (Circle)","Value Added Tax","VAT FORM I","19/10/2011","Active","-","Normal Dealer"
"66","33461347314","33ASKPP5008R1Z7","CHOLA ENGINEERING DESIGNS","352,Semathamman Nagar,Chennai,Tamil Nadu,600107","KOYAMBEDU (Circle)","Central Sales Tax","CST FORM NO.1","09/10/2007","Active","-","Normal Dealer"
"67","33461347314","33ASKPP5008R1Z7","CHOLA ENGINEERING DESIGNS","352,Semathamman Nagar,Chennai,Tamil Nadu,600107","KOYAMBEDU (Circle)","Value Added Tax","VAT FORM I","09/10/2007","Active","-","Normal Dealer"
"68","33246473563","33GREPS5364E1ZM","CLASSIA LASER DESIGN","39/1,,Parameshwaran Layout,Pappanaickenpalayam,Coimbatore,Tamil Nadu,641037","P N PALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","25/03/2017","Active","-","Normal Dealer"
"69","33246473563","33GREPS5364E1ZM","CLASSIA LASER DESIGN","39/1,,Parameshwaran Layout,Pappanaickenpalayam,Coimbatore,Tamil Nadu,641037","P N PALAYAM (Circle)","Value Added Tax","VAT FORM I","25/03/2017","Active","-","Normal Dealer"
"70","33046376486","33AAFFC0086R1Z7","CLASWIN DESIGNS","28,Padmini Garden Main Road,Opp Dsk Hosiptal,Kangeyam Road,Tamil Nadu,Tiruppur,641604","PONGALUR (Circle)","Central Sales Tax","CST FORM NO.1","09/04/2016","Active","-","Normal Dealer"
"71","33046376486","33AAFFC0086R1Z7","CLASWIN DESIGNS","28,Padmini Garden Main Road,Opp Dsk Hosiptal,Kangeyam Road,Tamil Nadu,Tiruppur,641604","PONGALUR (Circle)","Value Added Tax","VAT FORM I","09/04/2016","Active","-","Normal Dealer"
"72","33566434440","33AALFC7568E1ZB","CONCEPT AND DESIGN","No. 57/2,Aanoor Amman Complex,Veerapathra 2 Nd Street,Sathy Road,Tamil Nadu,Erode,638003","PARK ROAD (Circle)","Central Sales Tax","CST FORM NO.1","18/11/2016","Active","-","Normal Dealer"
"73","33566434440","33AALFC7568E1ZB","CONCEPT AND DESIGN","No. 57/2,Aanoor Amman Complex,Veerapathra 2 Nd Street,Sathy Road,Tamil Nadu,Erode,638003","PARK ROAD (Circle)","Value Added Tax","VAT FORM I","18/11/2016","Active","-","Normal Dealer"
"74","33556475472","33AAKFC5055B2ZV","CONCEPTUAL DESIGNER","52 A,Ground Floor, Nehru Nagar West, Cheranma Nagar Road,Civil Aerodrome Post,Tamil Nadu,Coimbatore,641014","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","28/03/2017","Active","-","Normal Dealer"
"75","33556475472","33AAKFC5055B2ZV","CONCEPTUAL DESIGNER","52 A,Ground Floor, Nehru Nagar West, Cheranma Nagar Road,Civil Aerodrome Post,Tamil Nadu,Coimbatore,641014","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","28/03/2017","Active","-","Normal Dealer"
"76","33076298457","33AAKFC0043R1ZD","CONCOLOR WORKS & DESIGNS","M-8/A,Na,Third Avenue,Anna Nagar Eastchennai,Tamil Nadu,600102","AMAINDAKARAI (Circle)","Central Sales Tax","CST FORM NO.1","17/03/2015","Active","-","Normal Dealer"
"77","33076298457","33AAKFC0043R1ZD","CONCOLOR WORKS & DESIGNS","M-8/A,Na,Third Avenue,Anna Nagar Eastchennai,Tamil Nadu,600102","AMAINDAKARAI (Circle)","Value Added Tax","VAT FORM I","17/03/2015","Active","-","Normal Dealer"
"78","33446313434","33AMVPV7269F1Z8","CREATIVESSS DESIGNS AND MANUFACTURING","Site No.4&5,Na,Chettipalayam Road,Kk Nagar Chinna Radio Stationvellalore,Tamil Nadu,Coimbatore,641111","PODANUR (Circle)","Central Sales Tax","CST FORM NO.1","11/05/2015","Active","-","Normal Dealer"
"79","33446313434","33AMVPV7269F1Z8","CREATIVESSS DESIGNS AND MANUFACTURING","Site No.4&5,Na,Chettipalayam Road,Kk Nagar Chinna Radio Stationvellalore,Tamil Nadu,Coimbatore,641111","PODANUR (Circle)","Value Added Tax","VAT FORM I","20/04/2015","Active","-","Normal Dealer"
"80","33086443315","33BPJPS8746A1ZQ","DEARS INTERIOR DESIGNER","1/510 F,Subbana Gounder Layout, Malumichampatti,Coimbatore,Tamil Nadu,641050","PODANUR (Circle)","Central Sales Tax","CST FORM NO.1","27/12/2016","Active","-","Normal Dealer"
"81","33086443315","33BPJPS8746A1ZQ","DEARS INTERIOR DESIGNER","1/510 F,Subbana Gounder Layout, Malumichampatti,Coimbatore,Tamil Nadu,641050","PODANUR (Circle)","Value Added Tax","VAT FORM I","27/12/2016","Active","-","Normal Dealer"
"82","33762394846","33AAIFD8838K1Z1","DECALS DESIGN","8/1803,,Na,Chenniyappa Complex P N Roadtirupur,Tamil Nadu,641602","ANUPPARPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","13/09/2012","Active","-","Normal Dealer"
"83","33762394846","33AAIFD8838K1Z1","DECALS DESIGN","8/1803,,Na,Chenniyappa Complex P N Roadtirupur,Tamil Nadu,641602","ANUPPARPALAYAM (Circle)","Value Added Tax","VAT FORM I","13/09/2012","Active","-","Normal Dealer"
"84","33501303836","33AAJFD1188M1Z7","DECOCRETE DESIGNER TILES","454,Na,Avadi Poonamalle High Road, Paruthipattu,Na,Tamil Nadu,Thiruvallur,600071","AVADI (Circle)","Central Sales Tax","CST FORM NO.1","25/12/2012","Active","-","Normal Dealer"
"85","33501303836","33AAJFD1188M1Z7","DECOCRETE DESIGNER TILES","454,Na,Avadi Poonamalle High Road, Paruthipattu,Na,Tamil Nadu,Thiruvallur,600071","AVADI (Circle)","Value Added Tax","VAT FORM I","25/12/2012","Active","-","Normal Dealer"
"86","33772801319","33AABFD8791Q1ZS","DEEPAM DESIGN","O.No.366/N.N.175,Na,Coimbatore Main Road,,Salem,Tamil Nadu,636010","SURAMANGALAM (Circle)","Central Sales Tax","CST FORM NO.1","11/01/2007","Active","-","Normal Dealer"
"87","33772801319","33AABFD8791Q1ZS","DEEPAM DESIGN","O.No.366/N.N.175,Na,Coimbatore Main Road,,Salem,Tamil Nadu,636010","SURAMANGALAM (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","01/01/2007","Active","-","Normal Dealer"
"88","33346411182","33COPPD9681D1ZQ","DEIVAM CONSTRUCTION AND DESIGNER","4-278,West Street,Nandhapadi,Tamil Nadu,Cuddalore,606105","CHIDAMBARAM - II (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","07/09/2016","Active","-","Composite Dealer (Section 3(4): Re-seller (Retailer));Normal Dealer"
"89","33442124198","33AMGPA7046J1Z8","DESIGN INDUSTRIES","6/2-3,Na,1st Cross, Near Railway Gate,Peelameducoimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","08/12/2010","Active","-","Normal Dealer"
"90","33442124198","33AMGPA7046J1Z8","DESIGN INDUSTRIES","6/2-3,Na,1st Cross, Near Railway Gate,Peelameducoimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","08/12/2010","Active","-","Normal Dealer"
"91","33332225672","33BVXPS9113B1ZB","DESIGN CASTINGS","Sf.No.30/A-2,Na,Parasakthi Nagar,Ganapathy Post,Tamil Nadu,Coimbatore,641006","AVARAMPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","17/05/2010","Active","-","Normal Dealer"
"92","33332225672","33BVXPS9113B1ZB","DESIGN CASTINGS","Sf.No.30/A-2,Na,Parasakthi Nagar,Ganapathy Post,Tamil Nadu,Coimbatore,641006","AVARAMPALAYAM (Circle)","Value Added Tax","VAT FORM I","17/05/2010","Active","-","Normal Dealer"
"93","33121502895","33AACFD8868K1Z1","DESIGN COUP","1/2nd.Floor, Tanjore Apar,Na,Nungambakkam,Tamil Nadu,600034","VALLUVARKOTTAM (Circle)","Central Sales Tax","CST FORM NO.1","28/01/2007","Active","-","Normal Dealer"
"94","33121502895","33AACFD8868K1Z1","DESIGN COUP","1/2nd.Floor, Tanjore Apar,Na,Nungambakkam,Tamil Nadu,600034","VALLUVARKOTTAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"95","33226257295","33BMFPM1570H1Z8","DESIGN FABRICS","109,Na,Tahdco Industriaal Estate.,,Mudalipalayamtiruppur,Tamil Nadu,641606","TIRUPPUR (RURAL)-1 (Circle)","Central Sales Tax","CST FORM NO.1","22/08/2014","Active","-","Normal Dealer"
"96","33226257295","33BMFPM1570H1Z8","DESIGN FABRICS","109,Na,Tahdco Industriaal Estate.,,Mudalipalayamtiruppur,Tamil Nadu,641606","TIRUPPUR (RURAL)-1 (Circle)","Value Added Tax","VAT FORM I","22/08/2014","Active","-","Normal Dealer"
"97","33906464767","33AKIPM2031K1ZD","DESIGN FURNITURE","30,Harilok Complex,Chatrapathi Shivaji Street,Shanmuga Nagar Chitlapakkam Chennai,Tamil Nadu,Kancheepuram,600064","CHROMEPET (Circle)","Central Sales Tax","CST FORM NO.1","28/02/2017","Active","-","Normal Dealer"
"98","33906464767","33AKIPM2031K1ZD","DESIGN FURNITURE","30,Harilok Complex,Chatrapathi Shivaji Street,Shanmuga Nagar Chitlapakkam Chennai,Tamil Nadu,Kancheepuram,600064","CHROMEPET (Circle)","Value Added Tax","VAT FORM I","28/02/2017","Active","-","Normal Dealer"
"99","33281843083","33AMEPA1014C1Z9","DESIGN FURNITURES & INTERIORS","4/2,Na,School Street,Sundakkamuthur,Tamil Nadu,Coimbatore,641008","KUNIYAMUTHUR (Circle)","Central Sales Tax","CST FORM NO.1","04/03/2011","Active","-","Normal Dealer"
"100","33281843083","33AMEPA1014C1Z9","DESIGN FURNITURES & INTERIORS","4/2,Na,School Street,Sundakkamuthur,Tamil Nadu,Coimbatore,641008","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I","04/03/2011","Active","-","Normal Dealer"
"101","33346266056","33AAFFD9702P1Z5","DESIGN INNOVATIONSS","6/3&4,Na,Gopal Nagar, Ist Street,Karuvampalayamtiruppur,Tamil Nadu,641604","TIRUPPUR (SOUTH) (Circle)","Central Sales Tax","CST FORM NO.1","07/11/2014","Active","-","Normal Dealer"
"102","33346266056","33AAFFD9702P1Z5","DESIGN INNOVATIONSS","6/3&4,Na,Gopal Nagar, Ist Street,Karuvampalayamtiruppur,Tamil Nadu,641604","TIRUPPUR (SOUTH) (Circle)","Value Added Tax","VAT FORM I","07/11/2014","Active","-","Normal Dealer"
"103","33456231706","33AACFD9105F1ZW","DESIGN JIT WEEVING","50,Na,Sidco Industrial Estate,Madurai,Tamil Nadu,625008","THIRUPARANKUNDRAM (Circle)","Central Sales Tax","CST FORM NO.1","24/07/2009","Active","-","Normal Dealer"
"104","33456231706","33AACFD9105F1ZW","DESIGN JIT WEEVING","50,Na,Sidco Industrial Estate,Madurai,Tamil Nadu,625008","THIRUPARANKUNDRAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"105","33186388209","33ARQPB9034Q1Z9","DESIGN PARK","218 (1),First Floor,P.N. Road,Mettupalayam Bus Stop,Tamil Nadu,Tiruppur,641602","TIRUPPUR (NORTH)-2 (Circle)","Value Added Tax","VAT FORM I","09/06/2016","Active","-","Normal Dealer"
"106","33536205472","33ALLPR6921R1ZA","DESIGN SOLUTION","No.43/F,Vrk Complex , 1st Floor,Thadgam Road,Tvs Nagar,,Coimbatore,Tamil Nadu,641025","VELANDIPALAYAM (Circle)","Central Sales Tax","CST FORM NO.1","27/08/2010","Active","-","Normal Dealer"
"107","33536205472","33ALLPR6921R1ZA","DESIGN SOLUTION","No.43/F,Vrk Complex , 1st Floor,Thadgam Road,Tvs Nagar,,Coimbatore,Tamil Nadu,641025","VELANDIPALAYAM (Circle)","Value Added Tax","VAT FORM I","27/08/2010","Active","-","Normal Dealer"
"108","33680984316","33AYFPS4604K1ZB","DESIGN SPRINGS","40 ,Na,Periyar Nagar 1st Street,Adambakkamchennai,Tamil Nadu,Kancheepuram,600088","NANGANALLUR (Circle)","Central Sales Tax","CST FORM NO.1","10/12/2004","Active","-","Normal Dealer"
"109","33680984316","33AYFPS4604K1ZB","DESIGN SPRINGS","40 ,Na,Periyar Nagar 1st Street,Adambakkamchennai,Tamil Nadu,Kancheepuram,600088","NANGANALLUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"110","33196372688","33CJCPK9329M1ZU","DESIGN TECH","19/17-B,College Road,Sivasakthi Nagar,Tamil Nadu,Tiruppur,641602","TIRUPPUR (NORTH)-1 (Circle)","Central Sales Tax","CST FORM NO.1","05/04/2016","Active","-","Normal Dealer"
"111","33196372688","33CJCPK9329M1ZU","DESIGN TECH","19/17-B,College Road,Sivasakthi Nagar,Tamil Nadu,Tiruppur,641602","TIRUPPUR (NORTH)-1 (Circle)","Value Added Tax","VAT FORM I","01/04/2016","Active","-","Normal Dealer"
"112","33150842066","33AAAFD4280F1ZW","DESIGNER LEATHER WARE","No.237,Na,Ambattur Industrial Estatechennai,Tamil Nadu,600058","NANDAMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","22/05/1998","Active","-","Normal Dealer"
"113","33150842066","33AAAFD4280F1ZW","DESIGNER LEATHER WARE","No.237,Na,Ambattur Industrial Estatechennai,Tamil Nadu,600058","NANDAMBAKKAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"114","33026421884","33AVUPN1975A1ZG","Designer Shoes","137,Vepery High Road,Chenaai,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","24/10/2016","Active","-","Normal Dealer"
"115","33026421884","33AVUPN1975A1ZG","Designer Shoes","137,Vepery High Road,Chenaai,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","24/10/2016","Active","-","Normal Dealer"
"116","33720501622","33AAGFD4553K1ZF","DESIGNERZ","88, New No.119,Na,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","11/11/2008","Active","-","Normal Dealer"
"117","33720501622","33AAGFD4553K1ZF","DESIGNERZ","88, New No.119,Na,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","11/11/2008","Active","-","Normal Dealer"
"118","33301803690","33AAFFD7805B1ZY","DESIGNS DISPLAYS","B-377,Na,Kurichi Housing Unit Phase Ii,Coimbatore,Tamil Nadu,641021","KUNIYAMUTHUR (Circle)","Central Sales Tax","CST FORM NO.1","04/05/2010","Active","-","Normal Dealer"
"119","33301803690","33AAFFD7805B1ZY","DESIGNS DISPLAYS","B-377,Na,Kurichi Housing Unit Phase Ii,Coimbatore,Tamil Nadu,641021","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I","05/06/2007","Active","-","Normal Dealer"
"120","33916348629","33ABJPE5047P1ZF","DESIGNURS","No.64/A,Na,Ambur,Tamil Nadu,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","23/10/2015","Active","-","Normal Dealer"
"121","33916348629","33ABJPE5047P1ZF","DESIGNURS","No.64/A,Na,Ambur,Tamil Nadu,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","23/10/2015","Active","-","Normal Dealer"
"122","33356081605","33BTMPM0401K1ZW","DESIKA TRADERS","28,Na,Mariammankovil Street,Srivilliputhur Taluk,Tamil Nadu,Virudhunagar,626110","SRIVILLIPUTHUR (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","01/01/2007","Active","-","Normal Dealer"
"123","33791326035","33AAHFD3612L1ZM","DESINNOVATIVE TECHNOLOGY","91/70,Na,Mariyamman Koil Street,Mathiyazhagannagar Padichennai,Tamil Nadu,Thiruvallur,600050","PADI (Circle)","Central Sales Tax","CST FORM NO.1","02/08/2010","Active","-","Normal Dealer"
"124","33791326035","33AAHFD3612L1ZM","DESINNOVATIVE TECHNOLOGY","91/70,Na,Mariyamman Koil Street,Mathiyazhagannagar Padichennai,Tamil Nadu,Thiruvallur,600050","PADI (Circle)","Value Added Tax","VAT FORM I","02/08/2010","Active","-","Normal Dealer"
"125","33650944805","33AACCD7264Q2Z6","DESINOS SPACIO INTERIORS PRIVATE LIMITED","34 B,Na,Second Main Road, Sidco Industrial Estate, Thirumudivakkam,Chennai,Tamil Nadu,Kancheepuram,600044","THIRUMUDIVAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","20/11/2007","Active","-","Normal Dealer"
"126","33650944805","33AACCD7264Q2Z6","DESINOS SPACIO INTERIORS PRIVATE LIMITED","34 B,Na,Second Main Road, Sidco Industrial Estate, Thirumudivakkam,Chennai,Tamil Nadu,Kancheepuram,600044","THIRUMUDIVAKKAM (Circle)","Value Added Tax","VAT FORM I","20/11/2007","Active","-","Normal Dealer"
"127","33716487678","33AGCPC5896N3ZZ","DESINOVA CNC","3/1a,Natesan Nagar,Ayanambakkam,Tamil Nadu,Chennai,600095","VANAGARAM (Circle)","Central Sales Tax","CST FORM NO.1","10/04/2017","Active","-","Normal Dealer"
"128","33716487678","33AGCPC5896N3ZZ","DESINOVA CNC","3/1a,Natesan Nagar,Ayanambakkam,Tamil Nadu,Chennai,600095","VANAGARAM (Circle)","Value Added Tax","VAT FORM I","10/04/2017","Active","-","Normal Dealer"
"129","33664363128","33BBSPS8602L1Z0","DESIRE CHEM","32,Na,Bajanai Koil Street,Walajah Tkv,Tamil Nadu,Vellore,666666","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","02/07/2008","Active","-","Normal Dealer"
"130","33664363128","33BBSPS8602L1Z0","DESIRE CHEM","32,Na,Bajanai Koil Street,Walajah Tkv,Tamil Nadu,Vellore,666666","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","02/07/2008","Active","-","Normal Dealer"
"131","33754362836","33BBSPS8602L2ZZ","DESIRE CHEM","32,Na,Bajanai Koil Street,Walajah Tk,Tamil Nadu,Vellore,631102","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","10/07/2007","Active","-","Normal Dealer"
"132","33754362836","33BBSPS8602L2ZZ","DESIRE CHEM","32,Na,Bajanai Koil Street,Walajah Tk,Tamil Nadu,Vellore,631102","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","10/07/2007","Active","-","Normal Dealer"
"133","33841326444","33AAIFD1057C1Z1","DESIRE ENGINEERS","17/55,Na,Mugappair Main Road,Padichennai,Tamil Nadu,600050","PADI (Circle)","Central Sales Tax","CST FORM NO.1","06/09/2011","Active","-","Normal Dealer"
"134","33841326444","33AAIFD1057C1Z1","DESIRE ENGINEERS","17/55,Na,Mugappair Main Road,Padichennai,Tamil Nadu,600050","PADI (Circle)","Value Added Tax","VAT FORM I","06/09/2011","Active","-","Normal Dealer"
"135","33826433638","33ACOPU2413M1ZA","DEVI BUILDING DESIGNERS","10/2,St.Antony Plaza,Kamarajar Salai,Anbu Nagar,Tamil Nadu,Thirunelveli,627011","PALAYAMKOTTAI (Circle)","Central Sales Tax","CST FORM NO.1","10/12/2016","Active","-","Normal Dealer"
"136","33826433638","33ACOPU2413M1ZA","DEVI BUILDING DESIGNERS","10/2,St.Antony Plaza,Kamarajar Salai,Anbu Nagar,Tamil Nadu,Thirunelveli,627011","PALAYAMKOTTAI (Circle)","Value Added Tax","VAT FORM I","10/12/2016","Active","-","Normal Dealer"
"137","33216427103","33AIAPM6343E3ZL","DHARMIK DESIGNITS","25/47,Perumal Kovil Street,Tirupur,Tamil Nadu,Tiruppur,641604","TIRUPPUR BAZAAR (Circle)","Central Sales Tax","CST FORM NO.1","23/10/2016","Active","-","Normal Dealer"
"138","33216427103","33AIAPM6343E3ZL","DHARMIK DESIGNITS","25/47,Perumal Kovil Street,Tirupur,Tamil Nadu,Tiruppur,641604","TIRUPPUR BAZAAR (Circle)","Value Added Tax","VAT FORM I","23/10/2016","Active","-","Normal Dealer"
"139","33270887202","33AVYPR3349G1Z0","DOT DESIGNS","2,Na,Loordhumadha Street/Thiruneermalai Main Road,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","24/04/2008","Active","-","Normal Dealer"
"140","33270887202","33AVYPR3349G1Z0","DOT DESIGNS","2,Na,Loordhumadha Street/Thiruneermalai Main Road,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Value Added Tax","VAT FORM I","24/04/2008","Active","-","Normal Dealer"
"141","33076468439","33CZEPM1235J1ZJ","DREAM DESIGN","1051/348,T.H.Road,Chennai,Tamil Nadu,600021","WASHERMENPET (Circle)","Central Sales Tax","CST FORM NO.1","23/02/2017","Active","-","Normal Dealer"
"142","33076468439","33CZEPM1235J1ZJ","DREAM DESIGN","1051/348,T.H.Road,Chennai,Tamil Nadu,600021","WASHERMENPET (Circle)","Value Added Tax","VAT FORM I","23/02/2017","Active","-","Normal Dealer"
"143","33572125339","33AADCE6334M1ZK","EASY DESIGN SOLUTIONS PRIVATE LIMITED","Site No. 21, New No. 88,Na,Maheswari Nagar 4th Street,Vilankurichi Road Peelamedu Coimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Central Sales Tax","CST FORM NO.1","21/03/2014","Active","-","Normal Dealer"
"144","33572125339","33AADCE6334M1ZK","EASY DESIGN SOLUTIONS PRIVATE LIMITED","Site No. 21, New No. 88,Na,Maheswari Nagar 4th Street,Vilankurichi Road Peelamedu Coimbatore,Tamil Nadu,641004","PEELAMEDU (NORTH) (Circle)","Value Added Tax","VAT FORM I","03/03/2014","Active","-","Normal Dealer"
"145","33431642356","33BOJPS7913C1ZX","ELLSAM TOOL DESIGN AND DEVELOPMENT HUB","34-B/1b/1,Na,Kancheepuram,Tamil Nadu,631502","KANCHEEPURAM - RURAL (Circle)","Central Sales Tax","CST FORM NO.1","25/02/2008","Active","-","Normal Dealer"
"146","33431642356","33BOJPS7913C1ZX","ELLSAM TOOL DESIGN AND DEVELOPMENT HUB","34-B/1b/1,Na,Kancheepuram,Tamil Nadu,631502","KANCHEEPURAM - RURAL (Circle)","Value Added Tax","VAT FORM I","25/09/2007","Active","-","Normal Dealer"
"147","33956409860","33AAHPE9076F1ZR","ESWAR DESIGNS","225/10,Nadupangu Thottam, Parani Compound, Dharapuram Road,Tirupur,Tamil Nadu,Tiruppur,641604","TIRUPPUR BAZAAR (Circle)","Central Sales Tax","CST FORM NO.1","02/09/2016","Active","-","Normal Dealer"
"148","33956409860","33AAHPE9076F1ZR","ESWAR DESIGNS","225/10,Nadupangu Thottam, Parani Compound, Dharapuram Road,Tirupur,Tamil Nadu,Tiruppur,641604","TIRUPPUR BAZAAR (Circle)","Value Added Tax","VAT FORM I","01/09/2016","Active","-","Normal Dealer"
"149","33760461733","33ACLPY2405J1ZF","E.STAR INTERIOR DESIGNERS","6,Na,Gullam Abbas Alikhan St I,Chennai,Tamil Nadu,600006","NUNGAMBAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","04/08/2008","Active","-","Normal Dealer"
"150","33760461733","33ACLPY2405J1ZF","E.STAR INTERIOR DESIGNERS","6,Na,Gullam Abbas Alikhan St I,Chennai,Tamil Nadu,600006","NUNGAMBAKKAM (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","04/08/2008","Active","-","Composite Dealer (Section 6 : Work Contractor);Normal Dealer"
"151","33186477449","33AAFFF0918H1ZS","FA DESIGNS","No.38a,Krishnagiri Trunk Road,Ranipet,Tamil Nadu,Vellore,632401","RANIPET (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2017","Active","-","Normal Dealer"
"152","33186477449","33AAFFF0918H1ZS","FA DESIGNS","No.38a,Krishnagiri Trunk Road,Ranipet,Tamil Nadu,Vellore,632401","RANIPET (Circle)","Value Added Tax","VAT FORM I","01/04/2017","Active","-","Normal Dealer"
"153","33872427232","33ABHPI8490E1ZN","FASHION MARK DESIGNER","Sf.No.642/1 No.9,Kprk Garments Compound,Serankadu,Pap Nagar Dharapuram Road,Tamil Nadu,Tiruppur,641608","TIRUPPUR BAZAAR (Circle)","Central Sales Tax","CST FORM NO.1","26/06/2014","Active","-","Normal Dealer"
"154","33872427232","33ABHPI8490E1ZN","FASHION MARK DESIGNER","Sf.No.642/1 No.9,Kprk Garments Compound,Serankadu,Pap Nagar Dharapuram Road,Tamil Nadu,Tiruppur,641608","TIRUPPUR BAZAAR (Circle)","Value Added Tax","VAT FORM I","14/06/2014","Active","-","Normal Dealer"
